"assay_date"	"CEL.file"
2013-10-24	"GSM1466543_BXD43.CEL"
2013-10-24	"GSM1466543_BXD43.CEL"
2013-10-24	"GSM1466544_BXD45.CEL"
2013-10-24	"GSM1466544_BXD45.CEL"
2013-10-24	"GSM1466545_BXD48.CEL"
2013-10-24	"GSM1466545_BXD48.CEL"
2013-10-24	"GSM1466546_BXD49.CEL"
2013-10-24	"GSM1466546_BXD49.CEL"
2013-10-24	"GSM1466547_BXD50.CEL"
2013-10-24	"GSM1466547_BXD50.CEL"
2013-10-24	"GSM1466548_BXD51.CEL"
2013-10-24	"GSM1466548_BXD51.CEL"
2013-10-24	"GSM1466549_BXD55.CEL"
2013-10-24	"GSM1466549_BXD55.CEL"
2013-10-24	"GSM1466550_BXD56.CEL"
2013-10-24	"GSM1466550_BXD56.CEL"
2013-10-24	"GSM1466551_BXD61.CEL"
2013-10-24	"GSM1466551_BXD61.CEL"
2013-10-24	"GSM1466552_BXD62.CEL"
2013-10-24	"GSM1466552_BXD62.CEL"
2013-10-24	"GSM1466553_BXD64.CEL"
2013-10-24	"GSM1466553_BXD64.CEL"
2013-10-25	"GSM1466554_BXD65.CEL"
2013-10-25	"GSM1466554_BXD65.CEL"
2013-10-24	"GSM1466555_BXD66.CEL"
2013-10-24	"GSM1466555_BXD66.CEL"
2013-10-24	"GSM1466556_BXD68.CEL"
2013-10-24	"GSM1466556_BXD68.CEL"
2013-10-24	"GSM1466557_BXD69.CEL"
2013-10-24	"GSM1466557_BXD69.CEL"
2013-10-24	"GSM1466558_BXD70.CEL"
2013-10-24	"GSM1466558_BXD70.CEL"
2013-10-24	"GSM1466559_BXD71.CEL"
2013-10-24	"GSM1466559_BXD71.CEL"
2013-10-24	"GSM1466560_BXD75.CEL"
2013-10-24	"GSM1466560_BXD75.CEL"
2013-10-24	"GSM1466561_BXD79.CEL"
2013-10-24	"GSM1466561_BXD79.CEL"
2013-10-25	"GSM1466562_BXD80.CEL"
2013-10-25	"GSM1466562_BXD80.CEL"
2013-10-25	"GSM1466563_BXD81.CEL"
2013-10-25	"GSM1466563_BXD81.CEL"
2013-10-25	"GSM1466564_BXD83.CEL"
2013-10-25	"GSM1466564_BXD83.CEL"
2013-10-25	"GSM1466565_BXD84.CEL"
2013-10-25	"GSM1466565_BXD84.CEL"
2013-10-25	"GSM1466566_BXD85.CEL"
2013-10-25	"GSM1466566_BXD85.CEL"
2013-10-25	"GSM1466567_BXD87.CEL"
2013-10-25	"GSM1466567_BXD87.CEL"
2013-10-25	"GSM1466568_BXD89.CEL"
2013-10-25	"GSM1466568_BXD89.CEL"
2013-10-25	"GSM1466569_BXD90.CEL"
2013-10-25	"GSM1466569_BXD90.CEL"
2013-10-25	"GSM1466570_BXD92.CEL"
2013-10-25	"GSM1466570_BXD92.CEL"
2013-10-25	"GSM1466571_BXD95.CEL"
2013-10-25	"GSM1466571_BXD95.CEL"
2013-10-25	"GSM1466572_BXD96.CEL"
2013-10-25	"GSM1466572_BXD96.CEL"
2013-10-25	"GSM1466573_BXD97.CEL"
2013-10-25	"GSM1466573_BXD97.CEL"
2013-10-25	"GSM1466574_BXD98.CEL"
2013-10-25	"GSM1466574_BXD98.CEL"
2013-10-25	"GSM1466575_BXD99.CEL"
2013-10-25	"GSM1466575_BXD99.CEL"
2013-10-25	"GSM1466576_BXD101.CEL"
2013-10-25	"GSM1466576_BXD101.CEL"
2013-10-25	"GSM1466577_BXD103.CEL"
2013-10-25	"GSM1466577_BXD103.CEL"
2013-10-24	"GSM1466578_C57.CEL"
2013-10-24	"GSM1466578_C57.CEL"
2013-10-24	"GSM1466579_DBA.CEL"
2013-10-24	"GSM1466579_DBA.CEL"
