sample_ID_EPFL	Sample name	title	CEL file	source name	organism	characteristics: organism_NCBI_txid	characteristics: strain	characteristics: genotype_qc	characteristics: sex	characteristics: age	characteristics: diet_ID	characteristics: diet_description	characteristics: dietary_intervention	characteristics: diet_composition	characteristics: diet_REF	characteristics: tissue	characteristics: tissue_REF	characteristics: tissue_sample_ID	characteristics: mean_extracted_RNA_concentration_before pooling	characteristics: mean_extracted_RNA_concentration_before pooling_unit	characteristics: mean_nanodrop_260_280_ratio_before_pooling	characteristics: mean_nanodrop_260_230_ratio_before_pooling	characteristics: nanodrop_260_280_ratio	characteristics: nanodrop_260_230_ratio	characteristics: extracted_RNA_concentration	characteristics: extracted_RNA_concentration_unit	characteristics: assay_date	characteristics: geo_accession	platform	molecule	label	description	solvent	platform_name	data
BXD43_CD_BAT	GSM1466543_BXD43.CEL	BXD43-brown adipose tissue-CD	GSM1466543_BXD43.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD43	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057						2.13	1.77	392	ng/ul	2013-10-24	GSM1466543	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD43 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466543/suppl/GSM1466543_BXD43.CEL.gz
BXD45_CD_BAT	GSM1466544_BXD45.CEL	BXD45-brown adipose tissue-CD	GSM1466544_BXD45.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD45	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057						2.14	1.09	381	ng/ul	2013-10-24	GSM1466544	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD45 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466544/suppl/GSM1466544_BXD45.CEL.gz
BXD48_CD_BAT	GSM1466545_BXD48.CEL	BXD48-brown adipose tissue-CD	GSM1466545_BXD48.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD48	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057						2.15	0.59	358	ng/ul	2013-10-24	GSM1466545	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD48 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466545/suppl/GSM1466545_BXD48.CEL.gz
BXD49_CD_BAT	GSM1466546_BXD49.CEL	BXD49-brown adipose tissue-CD	GSM1466546_BXD49.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD49	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057						2.13	0.87	342	ng/ul	2013-10-24	GSM1466546	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD49 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466546/suppl/GSM1466546_BXD49.CEL.gz
BXD50_CD_BAT	GSM1466547_BXD50.CEL	BXD50-brown adipose tissue-CD	GSM1466547_BXD50.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD50	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057	BXD50_CD_421,BXD50_CD_423,BXD50_CD_424,BXD50_CD_425	833	ng/ul	1.87	0.59	2.14	1.68	359	ng/ul	2013-10-24	GSM1466547	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD50 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466547/suppl/GSM1466547_BXD50.CEL.gz
BXD51_CD_BAT	GSM1466548_BXD51.CEL	BXD51-brown adipose tissue-CD	GSM1466548_BXD51.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD51	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057						2.15	1.28	339	ng/ul	2013-10-24	GSM1466548	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD51 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466548/suppl/GSM1466548_BXD51.CEL.gz
BXD55_CD_BAT	GSM1466549_BXD55.CEL	BXD55-brown adipose tissue-CD	GSM1466549_BXD55.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD55	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057						2.14	1.04	337	ng/ul	2013-10-24	GSM1466549	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD55 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466549/suppl/GSM1466549_BXD55.CEL.gz
BXD56_CD_BAT	GSM1466550_BXD56.CEL	BXD56-brown adipose tissue-CD	GSM1466550_BXD56.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD56	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057	BXD56_CD_401,BXD56_CD_403,BXD56_CD_404	498.7	ng/ul	1.83666666666667	0.483333333333333	2.12	1.17	340	ng/ul	2013-10-24	GSM1466550	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD56 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466550/suppl/GSM1466550_BXD56.CEL.gz
BXD61_CD_BAT	GSM1466551_BXD61.CEL	BXD61-brown adipose tissue-CD	GSM1466551_BXD61.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD61	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057						2.13	1.22	328	ng/ul	2013-10-24	GSM1466551	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD61 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466551/suppl/GSM1466551_BXD61.CEL.gz
BXD62_CD_BAT	GSM1466552_BXD62.CEL	BXD62-brown adipose tissue-CD	GSM1466552_BXD62.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD62	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057						2.16	1.42	656	ng/ul	2013-10-24	GSM1466552	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD62 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466552/suppl/GSM1466552_BXD62.CEL.gz
